TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-09-23 12:50:11,1790167811814,www.coconutstation.com/api/inquiries,POST,,500,mptxj-1790167810859-c872257b1ebc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/inquiries,www.coconutstation.com,coconutstation-cvinc9sio-nkthedecent2002-9922s-projects.vercel.app,dpl_7m9RozGm4hSe5AufmFwM91s7eL5K,,,,,"Error saving inquiry: Error: Failed query: insert into ""inquiries"" (""id"", ""type"", ""name"", ""email"", ""phone"", ""event_date"", ""guests"", ""area"", ""items"", ""details"", ""status"", ""created_at"") values (default, $1, $2, $3, $4, $5, $6, $7, $8, $9, default, default)
params: expansion,Anonymous,,01875254291,,,,,Interested in expansion to: dhaka
    at nq.queryWithCache (.next/server/chunks/src_db_index_ts_1ci4-7l._.js:28:33964)
    at async n (.next/server/chunks/[root-of-the-server]__0650u6v._.js:1:2134)
    at async J (.next/server/chunks/[root-of-the-server]__0650u6v._.js:1:5503)
    at async Z (.next/server/chunks/[root-of-the-server]__0650u6v._.js:1:6581)
    at async Module.q [as handler] (.next/server/chunks/[root-of-the-server]__0650u6v._.js:1:8638)
    at async handler (___next_launcher.cjs:224:7) {
  query: 'insert into ""inquiries"" (""id"", ""type"", ""name"", ""email"", ""phone"", ""event_date"", ""guests"", ""area"", ""items"", ""details"", ""status"", ""created_at"") values (default, $1, $2, $3, $4, $5, $6, $7, $8, $9, default, default)',
  params: [
    'expansion',
    'Anonymous',
    null,
    '01875254291',
    null,
    null,
    null,
    null,
    'Interested in expansion to: dhaka'
  ],
  [cause]: Error: connect ECONNREFUSED 127.0.0.1:5432
      at <unknown> (Error: connect ECONNREFUSED 127.0.0.1:5432) {
    errno: -111,
    code: 'ECONNREFUSED',
    syscall: 'connect',
    address: '127.0.0.1',
    port: 5432
  }
}",prj_PfFpvRQ97vYLH16JDhJAKoej9knR,,,,,,,
2026-09-23 12:50:10,1790167810859,www.coconutstation.com/api/inquiries,POST,,500,mptxj-1790167810859-c872257b1ebc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,function,/api/inquiries,www.coconutstation.com,coconutstation-cvinc9sio-nkthedecent2002-9922s-projects.vercel.app,dpl_7m9RozGm4hSe5AufmFwM91s7eL5K,754,iad1,226,2048,,prj_PfFpvRQ97vYLH16JDhJAKoej9knR,,,01M37520WQ6K390BWGDK0YJPFD,7U9T2XCtW2On,1,,
2026-09-23 12:49:30,1790167770448,www.coconutstation.com/,GET,_rsc=vuO3s-p_cG5ElR9B&nxtPlocale=en,200,4h6w2-1790167770448-91878f507180,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,function,/[locale].rsc,www.coconutstation.com,coconutstation-cvinc9sio-nkthedecent2002-9922s-projects.vercel.app,dpl_7m9RozGm4hSe5AufmFwM91s7eL5K,8,iad1,257,2048,,prj_PfFpvRQ97vYLH16JDhJAKoej9knR,,,01M3750SEDK7HRPH7ZX34J5YQA,odAxs9kmjFHZ,1,,
2026-09-23 12:49:30,1790167770448,www.coconutstation.com/,GET,_rsc=vuO3s-p_cG5ElR9B&nxtPlocale=en,200,4h6w2-1790167770448-91878f507180,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,middleware,_middleware,www.coconutstation.com,coconutstation-cvinc9sio-nkthedecent2002-9922s-projects.vercel.app,dpl_7m9RozGm4hSe5AufmFwM91s7eL5K,9,bom1,213,2048,,prj_PfFpvRQ97vYLH16JDhJAKoej9knR,,,01M3750SAS8DCGPQM3NGPFQ9BM,J1kvUOFiNb5b,1,,
2026-09-23 12:49:29,1790167769076,www.coconutstation.com/menu/coconut-coffee,GET,_rsc=bSyHYeeyIPU5R54L&nxtPlocale=en&nxtPslug=coconut-coffee,200,jqc9b-1790167768720-31ef731bb91a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",error,production,main,MISS,function,/[locale]/menu/[slug],www.coconutstation.com,coconutstation-cvinc9sio-nkthedecent2002-9922s-projects.vercel.app,dpl_7m9RozGm4hSe5AufmFwM91s7eL5K,,,,,"Failed to fetch catalog overrides, returning static catalog: Error: Failed query: select ""sku"", ""is_sold_out"", ""price_bdt"", ""updated_at"" from ""catalog_overrides""
params: 
    at eB.queryWithCache (.next/server/chunks/ssr/src_1v9cc11._.js:28:33964)
    at async (.next/server/chunks/ssr/src_1v9cc11._.js:28:36373)
    at async Object.getHydratedCatalog (.next/server/chunks/ssr/src_1v9cc11._.js:1:6499)
    at async Object.getProductBySlug (.next/server/chunks/ssr/src_1v9cc11._.js:1:7431)
    at async i (.next/server/chunks/ssr/[root-of-the-server]__1_chgq0._.js:1:5011) {
  query: 'select ""sku"", ""is_sold_out"", ""price_bdt"", ""updated_at"" from ""catalog_overrides""',
  params: [],
  [cause]: Error: connect ECONNREFUSED 127.0.0.1:5432
      at <unknown> (Error: connect ECONNREFUSED 127.0.0.1:5432) {
    errno: -111,
    code: 'ECONNREFUSED',
    syscall: 'connect',
    address: '127.0.0.1',
    port: 5432
  }
}",prj_PfFpvRQ97vYLH16JDhJAKoej9knR,,,,,,,
2026-09-23 12:49:29,1790167769079,www.coconutstation.com/menu/coconut-coffee,GET,_rsc=bSyHYeeyIPU5R54L&nxtPlocale=en&nxtPslug=coconut-coffee,200,jqc9b-1790167768720-31ef731bb91a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",error,production,main,MISS,function,/[locale]/menu/[slug],www.coconutstation.com,coconutstation-cvinc9sio-nkthedecent2002-9922s-projects.vercel.app,dpl_7m9RozGm4hSe5AufmFwM91s7eL5K,,,,,"Failed to fetch catalog overrides, returning static catalog: Error: Failed query: select ""sku"", ""is_sold_out"", ""price_bdt"", ""updated_at"" from ""catalog_overrides""
params: 
    at eB.queryWithCache (.next/server/chunks/ssr/src_1v9cc11._.js:28:33964)
    at async (.next/server/chunks/ssr/src_1v9cc11._.js:28:36373)
    at async Object.getHydratedCatalog (.next/server/chunks/ssr/src_1v9cc11._.js:1:6499)
    at async Object.getProductBySlug (.next/server/chunks/ssr/src_1v9cc11._.js:1:7431)
    at async Module.h [as generateMetadata] (.next/server/chunks/ssr/[root-of-the-server]__1_chgq0._.js:1:4831) {
  query: 'select ""sku"", ""is_sold_out"", ""price_bdt"", ""updated_at"" from ""catalog_overrides""',
  params: [],
  [cause]: Error: connect ECONNREFUSED 127.0.0.1:5432
      at <unknown> (Error: connect ECONNREFUSED 127.0.0.1:5432) {
    errno: -111,
    code: 'ECONNREFUSED',
    syscall: 'connect',
    address: '127.0.0.1',
    port: 5432
  }
}",prj_PfFpvRQ97vYLH16JDhJAKoej9knR,,,,,,,
2026-09-23 12:49:28,1790167768720,www.coconutstation.com/menu/coconut-coffee,GET,_rsc=bSyHYeeyIPU5R54L&nxtPlocale=en&nxtPslug=coconut-coffee,200,jqc9b-1790167768720-31ef731bb91a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,function,/[locale]/menu/[slug].rsc,www.coconutstation.com,coconutstation-cvinc9sio-nkthedecent2002-9922s-projects.vercel.app,dpl_7m9RozGm4hSe5AufmFwM91s7eL5K,14,iad1,257,2048,,prj_PfFpvRQ97vYLH16JDhJAKoej9knR,,,01M3750QYTQPPCH2TEXHBKXFEG,odAxs9kmjFHZ,1,,
2026-09-23 12:49:28,1790167768720,www.coconutstation.com/menu/coconut-coffee,GET,_rsc=bSyHYeeyIPU5R54L&nxtPlocale=en&nxtPslug=coconut-coffee,200,jqc9b-1790167768720-31ef731bb91a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,middleware,_middleware,www.coconutstation.com,coconutstation-cvinc9sio-nkthedecent2002-9922s-projects.vercel.app,dpl_7m9RozGm4hSe5AufmFwM91s7eL5K,10,bom1,213,2048,,prj_PfFpvRQ97vYLH16JDhJAKoej9knR,,,01M3750QTE9YR19XSYF449HKQV,J1kvUOFiNb5b,1,,
2026-09-23 12:49:25,1790167765130,www.coconutstation.com/menu,GET,_rsc=f8xsfO5udUYwziP1,200,drflr-1790167764969-5833f913c0af,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",error,production,main,MISS,function,/[locale]/menu,www.coconutstation.com,coconutstation-cvinc9sio-nkthedecent2002-9922s-projects.vercel.app,dpl_7m9RozGm4hSe5AufmFwM91s7eL5K,,,,,"Failed to fetch catalog overrides, returning static catalog: Error: Failed query: select ""sku"", ""is_sold_out"", ""price_bdt"", ""updated_at"" from ""catalog_overrides""
params: 
    at eB.queryWithCache (.next/server/chunks/ssr/src_1v9cc11._.js:28:33964)
    at async (.next/server/chunks/ssr/src_1v9cc11._.js:28:36373)
    at async Object.getHydratedCatalog (.next/server/chunks/ssr/src_1v9cc11._.js:1:6499)
    at async Object.getVisibleCatalog (.next/server/chunks/ssr/src_1v9cc11._.js:1:7307)
    at async e (.next/server/chunks/ssr/[root-of-the-server]__08hg23b._.js:1:4454) {
  query: 'select ""sku"", ""is_sold_out"", ""price_bdt"", ""updated_at"" from ""catalog_overrides""',
  params: [],
  [cause]: Error: connect ECONNREFUSED 127.0.0.1:5432
      at <unknown> (Error: connect ECONNREFUSED 127.0.0.1:5432) {
    errno: -111,
    code: 'ECONNREFUSED',
    syscall: 'connect',
    address: '127.0.0.1',
    port: 5432
  }
}",prj_PfFpvRQ97vYLH16JDhJAKoej9knR,,,,,,,
2026-09-23 12:49:24,1790167764969,www.coconutstation.com/menu,GET,_rsc=f8xsfO5udUYwziP1,200,drflr-1790167764969-5833f913c0af,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,middleware,_middleware,www.coconutstation.com,coconutstation-cvinc9sio-nkthedecent2002-9922s-projects.vercel.app,dpl_7m9RozGm4hSe5AufmFwM91s7eL5K,8,bom1,213,2048,,prj_PfFpvRQ97vYLH16JDhJAKoej9knR,,,01M3750KZYF4P9PFPA3PJW0DZM,J1kvUOFiNb5b,1,,
